id,ciudad,zona,latitud,longitud
453,CALI,Sur,3.352368935,-76.50092231
454,CALI,Sur,3.352368935,-76.50092231
455,CALI,Sur,3.352456962,-76.49999387
456,CALI,Sur,3.352456962,-76.49999387
457,CALI,Sur,3.328244306,-76.50377978
458,CALI,Sur,3.328244306,-76.50377978
459,CALI,Sur,3.363503429,-76.50375832
460,CALI,Sur,3.363503429,-76.50375832
461,CALI,Sur,3.364745829,-76.50309313
462,CALI,Sur,3.364745829,-76.50309313
463,CALI,Sur,3.326048602,-76.50179494
464,CALI,Sur,3.326048602,-76.50179494
465,CALI,Oeste,3.429344685,-76.54741096
466,CALI,Oeste,3.451673015,-76.54904258
467,CALI,Sur,3.340497317,-76.51459444
468,CALI,Sur,3.340497317,-76.51459444
469,CALI,Norte,3.465801401,-76.53411928
470,CALI,Sur,3.358153121,-76.52140975
471,CALI,Sur,3.358153121,-76.52140975
472,CALI,Oeste,3.428653914,-76.54971766
473,CALI,Sur,3.352146511,-76.50112326
474,CALI,Sur,3.352146511,-76.50112326
475,CALI,Sur,3.396167065,-76.54655945
476,CALI,Sur,3.396167065,-76.54655945
478,CALI,Sur,3.341911116,-76.51375759
479,CALI,Sur,3.341911116,-76.51375759
480,CALI,Norte,3.471457762,-76.52854193
481,CALI,Norte,3.45321455,-76.53910983
482,CALI,Sur,3.345766921,-76.52371932
483,CALI,Sur,3.360954361,-76.50448788
484,CALI,Oeste,3.439458283,-76.55263889
485,CALI,Oriente,3.464737747,-76.47932339
486,CALI,Oriente,3.436448905,-76.51601333
487,CALI,Sur,3.358287472,-76.50710571
488,CALI,Norte,3.475520761,-76.52998638
489,CALI,Sur,3.361875454,-76.50343645
490,CALI,Oeste,3.446012481,-76.54827226
491,CALI,Sur,3.380597005,-76.50806058
492,CALI,Sur,3.380393512,-76.51118267
493,CALI,Sur,3.281972828,-76.52656782
494,CALI,Sur,3.368558703,-76.50654782
495,CALI,Sur,3.349065764,-76.50607575
